detid,Unnamed: 0_x,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage,Unnamed: 0_y,type,location_desc,lat,lon
4000011,0,2023-12-05T18:00:00.000+01:00,100,anyVehicle,42.84,carOrLightVehicle,5.0,0.0,Doppelschleife,Effnerstr. ca. 20m sÃ¼dl. Wahnfriedallee,48.160583,11.621928
4000012,1,2023-12-05T18:00:00.000+01:00,90,anyVehicle,47.88,carOrLightVehicle,4.0,1.0,Doppelschleife,Effnerstr. ca. 20m sÃ¼dl. Wahnfriedallee,48.1606,11.621894
4001011,4,2023-12-05T18:00:00.000+01:00,71,anyVehicle,54.0,carOrLightVehicle,4.0,6.0,Doppelschleife,"Frankfurter Ring,  zw. Lilienthal Allee und Stuttgarter Str.,  550 m westl. Lilienthal Allee",48.1876,11.594869
4001012,5,2023-12-05T18:00:00.000+01:00,118,anyVehicle,55.44,carOrLightVehicle,6.0,7.0,Doppelschleife,"Frankfurter Ring,  zw. Lilienthal Allee und Stuttgarter Str.,  550 m westl. Lilienthal Allee",48.18766,11.594881
4001013,6,2023-12-05T18:00:00.000+01:00,72,anyVehicle,47.88,carOrLightVehicle,5.0,8.0,Doppelschleife,"Frankfurter Ring,  zw. Lilienthal Allee und Stuttgarter Str.,  550 m westl. Lilienthal Allee",48.18783,11.594907
4001014,7,2023-12-05T18:00:00.000+01:00,69,anyVehicle,0.0,carOrLightVehicle,5.0,9.0,Doppelschleife,"Frankfurter Ring,  zw. Lilienthal Allee und Stuttgarter Str.,  550 m westl. Lilienthal Allee",48.18778,11.594907
4003011,8,2023-12-05T18:00:00.000+01:00,285,anyVehicle,41.76,carOrLightVehicle,16.0,14.0,Doppelschleife,"Isarring - Fahrtrichtung Ost, ca. 50 m nach KennedybrÃ¼ckeHeinrich-Mann-Allee",48.156414,11.606162
4003012,9,2023-12-05T18:00:00.000+01:00,366,anyVehicle,45.72,carOrLightVehicle,16.0,15.0,Doppelschleife,"Isarring - Fahrtrichtung Ost, ca. 50 m nach KennedybrÃ¼ckeHeinrich-Mann-Allee",48.15644,11.606175
4004011,12,2023-12-05T18:00:00.000+01:00,256,anyVehicle,21.24,carOrLightVehicle,27.0,20.0,Doppelschleife,"Isarring -  hinter Ausfahrt Biederstein-Tunnel, bei Dietlindenstr., Fahrtrichtung Effnerplatz",48.163513,11.596337
4004012,13,2023-12-05T18:00:00.000+01:00,362,anyVehicle,22.68,carOrLightVehicle,33.0,21.0,Doppelschleife,"Isarring -  hinter Ausfahrt Biederstein-Tunnel, bei Dietlindenstr., Fahrtrichtung Effnerplatz",48.1635,11.596284
4005011,16,2023-12-05T18:00:00.000+01:00,176,anyVehicle,41.04,carOrLightVehicle,14.0,24.0,Doppelschleife,"Schenkendorfstr.  Richtung Osten, unter BAB 9-ÃberfÃ¼hrung",48.175503,11.592866
4005012,17,2023-12-05T18:00:00.000+01:00,253,anyVehicle,39.96,carOrLightVehicle,23.0,25.0,Doppelschleife,"Schenkendorfstr.  Richtung Osten, unter BAB 9-ÃberfÃ¼hrung",48.17552,11.592879
4005013,18,2023-12-05T18:00:00.000+01:00,212,anyVehicle,44.64,carOrLightVehicle,18.0,26.0,Doppelschleife,"Schenkendorfstr.  Richtung Osten, unter BAB 9-ÃberfÃ¼hrung",48.17554,11.592893
4005014,19,2023-12-05T18:00:00.000+01:00,55,anyVehicle,46.08,carOrLightVehicle,3.0,27.0,Doppelschleife,"Schenkendorfstr.  Richtung Westen, unter BAB 9-ÃberfÃ¼hrung",48.175613,11.592959
4005015,20,2023-12-05T18:00:00.000+01:00,169,anyVehicle,49.68,carOrLightVehicle,11.0,28.0,Doppelschleife,"Schenkendorfstr.  Richtung Westen, unter BAB 9-ÃberfÃ¼hrung",48.175594,11.592946
4005016,21,2023-12-05T18:00:00.000+01:00,205,anyVehicle,52.92,carOrLightVehicle,12.0,29.0,Doppelschleife,"Schenkendorfstr.  Richtung Westen, unter BAB 9-ÃberfÃ¼hrung",48.175575,11.592933
4006011,22,2023-12-05T18:00:00.000+01:00,111,anyVehicle,42.84,carOrLightVehicle,6.0,30.0,Doppelschleife,Frankfurter Ring - Haus 12  (ca. 50 m Ã¶stlich der Korbianstr.),48.187363,11.570449
4006012,23,2023-12-05T18:00:00.000+01:00,47,anyVehicle,46.08,carOrLightVehicle,5.0,31.0,Doppelschleife,Frankfurter Ring - Haus 12  (ca. 50 m Ã¶stlich der Korbianstr.),48.18742,11.570416
4006021,24,2023-12-05T18:00:00.000+01:00,113,anyVehicle,39.96,carOrLightVehicle,7.0,32.0,Doppelschleife,Frankfurter Ring - Haus 12  (ca. 50 m Ã¶stlich der Korbianstr.),48.187504,11.570299
4006022,25,2023-12-05T18:00:00.000+01:00,148,anyVehicle,38.52,carOrLightVehicle,9.0,33.0,Doppelschleife,Frankfurter Ring - Haus 12  (ca. 50 m Ã¶stlich der Korbianstr.),48.187454,11.570406
4007011,26,2023-12-05T18:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,34.0,Doppelschleife,"Moosacher Str.,  ca. 100 m westl. des Anhalter Platzes",48.186646,11.560828
4007012,27,2023-12-05T18:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,35.0,Doppelschleife,"Moosacher Str.,  ca. 100 m westl. des Anhalter Platzes",48.18668,11.560828
4007013,28,2023-12-05T18:00:00.000+01:00,102,anyVehicle,46.8,carOrLightVehicle,7.0,36.0,Doppelschleife,"Moosacher Str.,  ca. 100 m westl. des Anhalter Platzes",48.18679,11.560803
4007014,29,2023-12-05T18:00:00.000+01:00,81,anyVehicle,48.24,carOrLightVehicle,48.0,37.0,Doppelschleife,"Moosacher Str.,  ca. 100 m westl. des Anhalter Platzes",48.186768,11.560803
4007015,30,2023-12-05T18:00:00.000+01:00,36,anyVehicle,54.72,carOrLightVehicle,2.0,38.0,Doppelschleife,"Moosacher Str.,  ca. 100 m westl. des Anhalter Platzes",48.18674,11.560806
4009011,31,2023-12-05T18:00:00.000+01:00,178,anyVehicle,57.96,carOrLightVehicle,6.0,45.0,Doppelschleife,Landshuter Allee  - HÃ¶he Kusocinskidamm,48.18309,11.540322
4009012,32,2023-12-05T18:00:00.000+01:00,131,anyVehicle,61.92,carOrLightVehicle,4.0,46.0,Doppelschleife,Landshuter Allee  - HÃ¶he Kusocinskidamm,48.183083,11.540381
4009021,33,2023-12-05T18:00:00.000+01:00,193,anyVehicle,56.88,carOrLightVehicle,7.0,47.0,Doppelschleife,Landshuter Allee  - HÃ¶he Kusocinskidamm,48.18304,11.540547
4009022,34,2023-12-05T18:00:00.000+01:00,113,anyVehicle,65.88,carOrLightVehicle,3.0,48.0,Doppelschleife,Landshuter Allee  - HÃ¶he Kusocinskidamm,48.183064,11.540488
4010011,35,2023-12-05T18:00:00.000+01:00,94,anyVehicle,41.4,carOrLightVehicle,5.0,49.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106987,11.580435
4010012,36,2023-12-05T18:00:00.000+01:00,241,anyVehicle,39.96,carOrLightVehicle,14.0,50.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106976,11.5803995
4010013,37,2023-12-05T18:00:00.000+01:00,215,anyVehicle,41.04,carOrLightVehicle,13.0,51.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106964,11.580356
4010014,38,2023-12-05T18:00:00.000+01:00,212,anyVehicle,49.68,carOrLightVehicle,10.0,52.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.10695,11.580318
4010021,39,2023-12-05T18:00:00.000+01:00,162,anyVehicle,46.08,carOrLightVehicle,8.0,53.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106884,11.580142
4010022,40,2023-12-05T18:00:00.000+01:00,225,anyVehicle,45.36,carOrLightVehicle,11.0,54.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106895,11.58017
4010023,41,2023-12-05T18:00:00.000+01:00,235,anyVehicle,46.08,carOrLightVehicle,13.0,55.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106915,11.580216
4010024,42,2023-12-05T18:00:00.000+01:00,318,anyVehicle,51.12,carOrLightVehicle,14.0,56.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106926,11.58024
4012011,43,2023-12-05T18:00:00.000+01:00,161,anyVehicle,51.84,carOrLightVehicle,10.0,57.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.127865,11.524555
4012012,44,2023-12-05T18:00:00.000+01:00,303,anyVehicle,48.96,carOrLightVehicle,20.0,58.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.127884,11.52452
4012013,45,2023-12-05T18:00:00.000+01:00,324,anyVehicle,54.36,carOrLightVehicle,19.0,59.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.1279,11.524496
4012014,46,2023-12-05T18:00:00.000+01:00,221,anyVehicle,38.88,carOrLightVehicle,17.0,60.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.12799,11.524388
4012015,47,2023-12-05T18:00:00.000+01:00,367,anyVehicle,34.92,carOrLightVehicle,34.0,61.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.12797,11.524421
4012016,48,2023-12-05T18:00:00.000+01:00,347,anyVehicle,42.48,carOrLightVehicle,26.0,62.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.12795,11.524449
4013011,49,2023-12-05T18:00:00.000+01:00,82,anyVehicle,34.2,carOrLightVehicle,5.0,63.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149174,11.536535
4013012,50,2023-12-05T18:00:00.000+01:00,172,anyVehicle,36.0,carOrLightVehicle,10.0,64.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149166,11.53661
4013013,51,2023-12-05T18:00:00.000+01:00,292,anyVehicle,24.84,carOrLightVehicle,25.0,65.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.14919,11.5366745
4013014,52,2023-12-05T18:00:00.000+01:00,270,anyVehicle,22.32,carOrLightVehicle,32.0,66.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149174,11.536739
4013021,53,2023-12-05T18:00:00.000+01:00,287,anyVehicle,41.76,carOrLightVehicle,14.0,70.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149197,11.537071
4013022,54,2023-12-05T18:00:00.000+01:00,281,anyVehicle,45.36,carOrLightVehicle,12.0,71.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.1492,11.536975
4013023,55,2023-12-05T18:00:00.000+01:00,110,anyVehicle,36.72,carOrLightVehicle,6.0,72.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149208,11.536889
4013024,56,2023-12-05T18:00:00.000+01:00,167,anyVehicle,39.24,carOrLightVehicle,8.0,73.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.14924,11.536825
4014011,57,2023-12-05T18:00:00.000+01:00,123,anyVehicle,38.16,carOrLightVehicle,11.0,74.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.15967,11.53757
4014012,58,2023-12-05T18:00:00.000+01:00,281,anyVehicle,45.0,carOrLightVehicle,19.0,75.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.15967,11.537543
4014013,59,2023-12-05T18:00:00.000+01:00,278,anyVehicle,50.76,carOrLightVehicle,16.0,76.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.15967,11.537517
4014014,60,2023-12-05T18:00:00.000+01:00,123,anyVehicle,33.84,carOrLightVehicle,11.0,77.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.159683,11.537409
4014015,61,2023-12-05T18:00:00.000+01:00,262,anyVehicle,35.28,carOrLightVehicle,23.0,78.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.159683,11.537436
4014016,62,2023-12-05T18:00:00.000+01:00,303,anyVehicle,32.76,carOrLightVehicle,34.0,79.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.159683,11.537463
4019011,63,2023-12-05T18:00:00.000+01:00,47,anyVehicle,43.56,carOrLightVehicle,4.0,82.0,Einfachschleife,HeidemannstraÃe,48.20046,11.604775
4019012,64,2023-12-05T18:00:00.000+01:00,34,anyVehicle,45.0,carOrLightVehicle,2.0,83.0,Einfachschleife,HeidemannstraÃe,48.200512,11.604789
4019013,65,2023-12-05T18:00:00.000+01:00,44,anyVehicle,47.52,carOrLightVehicle,3.0,84.0,Einfachschleife,HeidemannstraÃe,48.2007,11.604828
4019014,66,2023-12-05T18:00:00.000+01:00,46,anyVehicle,52.56,carOrLightVehicle,2.0,85.0,Einfachschleife,HeidemannstraÃe,48.200645,11.604815
4020013,67,2023-12-05T18:00:00.000+01:00,78,anyVehicle,42.12,carOrLightVehicle,5.0,88.0,Doppelschleife,Effnerstr.,48.155308,11.616897
4020014,68,2023-12-05T18:00:00.000+01:00,88,anyVehicle,43.56,carOrLightVehicle,6.0,89.0,Doppelschleife,Effnerstr.,48.155315,11.616856
4022011,69,2023-12-05T18:00:00.000+01:00,88,anyVehicle,46.8,carOrLightVehicle,4.0,94.0,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",48.129498,11.657216
4022012,70,2023-12-05T18:00:00.000+01:00,81,anyVehicle,50.04,carOrLightVehicle,3.0,95.0,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",48.12948,11.6572695
4024011,73,2023-12-05T18:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,104.0,Einfachschleife,Stadelheimer Str.,48.100685,11.589469
4024012,74,2023-12-05T18:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,105.0,Einfachschleife,Stadelheimer Str.,48.10071,11.589456
4024013,75,2023-12-05T18:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,106.0,Einfachschleife,Stadelheimer Str.,48.100872,11.589347
4024014,76,2023-12-05T18:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,107.0,Einfachschleife,Stadelheimer Str.,48.100845,11.58936
4025011,77,2023-12-05T18:00:00.000+01:00,162,anyVehicle,36.36,carOrLightVehicle,10.0,108.0,Doppelschleife,"Wolfratshauser Str., nÃ¶rdlich LudwigshÃ¶her Str.",48.091743,11.53938
4027011,79,2023-12-05T18:00:00.000+01:00,139,anyVehicle,51.48,carOrLightVehicle,5.0,112.0,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",48.171394,11.5385
4027012,80,2023-12-05T18:00:00.000+01:00,273,anyVehicle,45.36,carOrLightVehicle,13.0,113.0,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",48.171394,11.5385275
4033011,85,2023-12-05T18:00:00.000+01:00,39,anyVehicle,42.84,carOrLightVehicle,2.0,132.0,Doppelschleife,"Prinzregentenstrasse, 20m westl. Wagenbauerstr.",48.138115,11.618207
4033012,86,2023-12-05T18:00:00.000+01:00,88,anyVehicle,42.84,carOrLightVehicle,6.0,133.0,Doppelschleife,"Prinzregentenstrasse, 20m westl. Wagenbauerstr.",48.138096,11.618207
