,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
0,4000011,2024-03-07T20:05:00.000+01:00,83,anyVehicle,0,,0
1,4000012,2024-03-07T20:05:00.000+01:00,60,anyVehicle,0,,0
2,4000021,2024-03-07T20:05:00.000+01:00,80,anyVehicle,0,,0
3,4000022,2024-03-07T20:05:00.000+01:00,77,anyVehicle,0,,0
4,4001011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
5,4001012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
6,4001013,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
7,4001014,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
8,4003011,2024-03-07T20:05:00.000+01:00,280,anyVehicle,0,,0
9,4003012,2024-03-07T20:05:00.000+01:00,288,anyVehicle,0,,0
10,4003021,2024-03-07T20:05:00.000+01:00,247,anyVehicle,0,,0
11,4003022,2024-03-07T20:05:00.000+01:00,263,anyVehicle,0,,0
12,4004011,2024-03-07T20:05:00.000+01:00,258,anyVehicle,0,,0
13,4004012,2024-03-07T20:05:00.000+01:00,300,anyVehicle,0,,0
14,4004021,2024-03-07T20:05:00.000+01:00,298,anyVehicle,0,,0
15,4004022,2024-03-07T20:05:00.000+01:00,257,anyVehicle,0,,0
16,4005011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
17,4005012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
18,4005013,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
19,4005014,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
20,4005015,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
21,4005016,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
22,4006011,2024-03-07T20:05:00.000+01:00,89,anyVehicle,0,,0
23,4006012,2024-03-07T20:05:00.000+01:00,16,anyVehicle,0,,0
24,4006021,2024-03-07T20:05:00.000+01:00,82,anyVehicle,0,,0
25,4006022,2024-03-07T20:05:00.000+01:00,118,anyVehicle,0,,0
26,4007011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
27,4007012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
28,4007013,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
29,4007014,2024-03-07T20:05:00.000+01:00,57,anyVehicle,0,,0
30,4007015,2024-03-07T20:05:00.000+01:00,41,anyVehicle,0,,0
31,4009011,2024-03-07T20:05:00.000+01:00,175,anyVehicle,0,,0
32,4009012,2024-03-07T20:05:00.000+01:00,110,anyVehicle,0,,0
33,4009021,2024-03-07T20:05:00.000+01:00,169,anyVehicle,0,,0
34,4009022,2024-03-07T20:05:00.000+01:00,105,anyVehicle,0,,0
35,4010011,2024-03-07T20:05:00.000+01:00,82,anyVehicle,0,,0
36,4010012,2024-03-07T20:05:00.000+01:00,190,anyVehicle,0,,0
37,4010013,2024-03-07T20:05:00.000+01:00,181,anyVehicle,0,,0
38,4010014,2024-03-07T20:05:00.000+01:00,104,anyVehicle,0,,0
39,4010021,2024-03-07T20:05:00.000+01:00,98,anyVehicle,0,,0
40,4010022,2024-03-07T20:05:00.000+01:00,180,anyVehicle,0,,0
41,4010023,2024-03-07T20:05:00.000+01:00,185,anyVehicle,0,,0
42,4010024,2024-03-07T20:05:00.000+01:00,135,anyVehicle,0,,0
43,4012011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
44,4012012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
45,4012013,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
46,4012014,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
47,4012015,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
48,4012016,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
49,4013011,2024-03-07T20:05:00.000+01:00,53,anyVehicle,0,,0
50,4013012,2024-03-07T20:05:00.000+01:00,182,anyVehicle,0,,0
51,4013013,2024-03-07T20:05:00.000+01:00,276,anyVehicle,0,,0
52,4013014,2024-03-07T20:05:00.000+01:00,288,anyVehicle,0,,0
53,4013021,2024-03-07T20:05:00.000+01:00,59,anyVehicle,0,,0
54,4013022,2024-03-07T20:05:00.000+01:00,152,anyVehicle,0,,0
55,4013023,2024-03-07T20:05:00.000+01:00,225,anyVehicle,0,,0
56,4013024,2024-03-07T20:05:00.000+01:00,190,anyVehicle,0,,0
57,4014011,2024-03-07T20:05:00.000+01:00,91,anyVehicle,0,,0
58,4014012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
59,4014013,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
