detid,Unnamed: 0_x,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage,Unnamed: 0_y,type,location_desc,lat,lon
4000011,0,2023-12-05T17:00:00.000+01:00,96,anyVehicle,43.56,carOrLightVehicle,4.0,0.0,Doppelschleife,Effnerstr. ca. 20m sÃ¼dl. Wahnfriedallee,48.160583,11.621928
4000012,1,2023-12-05T17:00:00.000+01:00,82,anyVehicle,47.16,carOrLightVehicle,3.0,1.0,Doppelschleife,Effnerstr. ca. 20m sÃ¼dl. Wahnfriedallee,48.1606,11.621894
4000021,2,2023-12-05T17:00:00.000+01:00,141,anyVehicle,41.76,carOrLightVehicle,7.0,4.0,Doppelschleife,Effnerstr. ca. 20m sÃ¼dl. Wahnfriedallee,0.0,0.0
4000022,3,2023-12-05T17:00:00.000+01:00,107,anyVehicle,39.24,carOrLightVehicle,6.0,5.0,Doppelschleife,Effnerstr. ca. 20m sÃ¼dl. Wahnfriedallee,0.0,0.0
4001011,4,2023-12-05T17:00:00.000+01:00,83,anyVehicle,50.4,carOrLightVehicle,5.0,6.0,Doppelschleife,"Frankfurter Ring,  zw. Lilienthal Allee und Stuttgarter Str.,  550 m westl. Lilienthal Allee",48.1876,11.594869
4001012,5,2023-12-05T17:00:00.000+01:00,145,anyVehicle,53.28,carOrLightVehicle,9.0,7.0,Doppelschleife,"Frankfurter Ring,  zw. Lilienthal Allee und Stuttgarter Str.,  550 m westl. Lilienthal Allee",48.18766,11.594881
4001013,6,2023-12-05T17:00:00.000+01:00,80,anyVehicle,48.6,carOrLightVehicle,6.0,8.0,Doppelschleife,"Frankfurter Ring,  zw. Lilienthal Allee und Stuttgarter Str.,  550 m westl. Lilienthal Allee",48.18783,11.594907
4001014,7,2023-12-05T17:00:00.000+01:00,75,anyVehicle,0.0,carOrLightVehicle,6.0,9.0,Doppelschleife,"Frankfurter Ring,  zw. Lilienthal Allee und Stuttgarter Str.,  550 m westl. Lilienthal Allee",48.18778,11.594907
4003011,8,2023-12-05T17:00:00.000+01:00,314,anyVehicle,39.6,carOrLightVehicle,18.0,14.0,Doppelschleife,"Isarring - Fahrtrichtung Ost, ca. 50 m nach KennedybrÃ¼ckeHeinrich-Mann-Allee",48.156414,11.606162
4003012,9,2023-12-05T17:00:00.000+01:00,392,anyVehicle,44.64,carOrLightVehicle,18.0,15.0,Doppelschleife,"Isarring - Fahrtrichtung Ost, ca. 50 m nach KennedybrÃ¼ckeHeinrich-Mann-Allee",48.15644,11.606175
4003021,10,2023-12-05T17:00:00.000+01:00,286,anyVehicle,46.44,carOrLightVehicle,14.0,18.0,Doppelschleife,"Isarring - Fahrtrichtung West, ca. 50 m vor KennedybrÃ¼cke Heinrich-Mann-Allee",0.0,0.0
4003022,11,2023-12-05T17:00:00.000+01:00,334,anyVehicle,51.84,carOrLightVehicle,13.0,19.0,Doppelschleife,"Isarring - Fahrtrichtung West, ca. 50 m vor KennedybrÃ¼cke Heinrich-Mann-Allee",0.0,0.0
4004011,12,2023-12-05T17:00:00.000+01:00,265,anyVehicle,23.76,carOrLightVehicle,24.0,20.0,Doppelschleife,"Isarring -  hinter Ausfahrt Biederstein-Tunnel, bei Dietlindenstr., Fahrtrichtung Effnerplatz",48.163513,11.596337
4004012,13,2023-12-05T17:00:00.000+01:00,377,anyVehicle,23.4,carOrLightVehicle,34.0,21.0,Doppelschleife,"Isarring -  hinter Ausfahrt Biederstein-Tunnel, bei Dietlindenstr., Fahrtrichtung Effnerplatz",48.1635,11.596284
4004021,14,2023-12-05T17:00:00.000+01:00,337,anyVehicle,43.92,carOrLightVehicle,18.0,22.0,Doppelschleife,"Isarring - vor Einfahrt Biederstein-Tunnel, bei Dietlindenstr., Fahrtrichtung Petuel",0.0,0.0
4004022,15,2023-12-05T17:00:00.000+01:00,344,anyVehicle,49.68,carOrLightVehicle,15.0,23.0,Doppelschleife,"Isarring - vor Einfahrt Biederstein-Tunnel, bei Dietlindenstr., Fahrtrichtung Petuel",0.0,0.0
4005011,16,2023-12-05T17:00:00.000+01:00,218,anyVehicle,37.8,carOrLightVehicle,19.0,24.0,Doppelschleife,"Schenkendorfstr.  Richtung Osten, unter BAB 9-ÃberfÃ¼hrung",48.175503,11.592866
4005012,17,2023-12-05T17:00:00.000+01:00,198,anyVehicle,29.52,carOrLightVehicle,32.0,25.0,Doppelschleife,"Schenkendorfstr.  Richtung Osten, unter BAB 9-ÃberfÃ¼hrung",48.17552,11.592879
4005013,18,2023-12-05T17:00:00.000+01:00,198,anyVehicle,29.16,carOrLightVehicle,33.0,26.0,Doppelschleife,"Schenkendorfstr.  Richtung Osten, unter BAB 9-ÃberfÃ¼hrung",48.17554,11.592893
4005014,19,2023-12-05T17:00:00.000+01:00,58,anyVehicle,48.96,carOrLightVehicle,3.0,27.0,Doppelschleife,"Schenkendorfstr.  Richtung Westen, unter BAB 9-ÃberfÃ¼hrung",48.175613,11.592959
