,DETEKTO,LZANR,NAME,DET_IND,DET_NAM,dtctr_t,dtctr_l,geometry
0,1020003,,,,,,,POINT (11.559911 48.1745954)
1,4000011,,,,,Doppelschleife,lane1,POINT (11.621928 48.160583)
2,4000012,,,,,Doppelschleife,lane2,POINT (11.621894 48.1606)
3,4000013,,,,,Doppelschleife,,POINT (11.621799 48.160645)
4,4000014,,,,,Doppelschleife,,POINT (11.621832 48.160625)
5,4001011,,,,,Doppelschleife,lane1,POINT (11.594869 48.1876)
6,4001012,,,,,Doppelschleife,lane2,POINT (11.594881 48.18766)
7,4001013,,,,,Doppelschleife,lane1,POINT (11.594907 48.18783)
8,4001014,,,,,Doppelschleife,lane2,POINT (11.594907 48.18778)
9,4002011,,,,,,,POINT (11.578866 48.187626)
10,4002012,,,,,,,POINT (11.57886 48.187656)
11,4002013,,,,,,,POINT (11.578866 48.187748)
12,4002014,,,,,,,POINT (11.578871 48.187717)
13,4003011,,,,,Doppelschleife,lane1,POINT (11.606162 48.156414)
14,4003012,,,,,Doppelschleife,lane2,POINT (11.606175 48.15644)
15,4003013,,,,,,,POINT (11.606229 48.15652)
16,4003014,,,,,,,POINT (11.6062155 48.156494)
17,4004011,,,,,Doppelschleife,lane1,POINT (11.596337 48.163513)
18,4004012,,,,,Doppelschleife,lane2,POINT (11.596284 48.1635)
19,4004013,,,,,Doppelschleife,lane1,POINT (11.596176 48.16347)
20,4004014,,,,,Doppelschleife,lane2,POINT (11.596225 48.163486)
21,4005011,,,,,,,POINT (11.592866 48.175503)
22,4005012,,,,,,,POINT (11.592879 48.17552)
23,4005013,,,,,,,POINT (11.592893 48.17554)
24,4005014,,,,,,,POINT (11.592959 48.175613)
25,4005015,,,,,,,POINT (11.592946 48.175594)
26,4005016,,,,,,,POINT (11.592933 48.175575)
27,4006011,,,,,Doppelschleife,lane1,POINT (11.570449 48.187363)
28,4006012,,,,,Doppelschleife,lane2,POINT (11.570416 48.18742)
29,4006021,,,,,,,POINT (11.570299 48.187504)
30,4006022,,,,,,,POINT (11.570406 48.187454)
31,4007011,,,,,Doppelschleife,lane1,POINT (11.560828 48.186646)
32,4007012,,,,,Doppelschleife,lane2,POINT (11.560828 48.18668)
33,4007013,,,,,Doppelschleife,lane1,POINT (11.560803 48.18679)
34,4007014,,,,,Doppelschleife,lane2,POINT (11.560803 48.186768)
35,4007015,,,,,Doppelschleife,lane3,POINT (11.560806 48.18674)
36,4008011,,,,,,,POINT (11.544474 48.186142)
37,4008012,,,,,,,POINT (11.54446 48.186176)
38,4008013,,,,,,,POINT (11.544459 48.186203)
39,4008014,,,,,,,POINT (11.544458 48.186314)
40,4008015,,,,,,,POINT (11.544459 48.186287)
41,4008016,,,,,,,POINT (11.544459 48.18625)
42,4009011,,,,,,,POINT (11.540312 48.18308)
43,4009012,,,,,,,POINT (11.540386 48.183144)
44,4009021,,,,,,,POINT (11.54058 48.183105)
45,4009022,,,,,,,POINT (11.540537 48.18304)
46,4010011,,,,,Doppelschleife,lane1,POINT (11.580435 48.106987)
47,4010012,,,,,Doppelschleife,lane2,POINT (11.5803995 48.106976)
48,4010013,,,,,Doppelschleife,lane3,POINT (11.580356 48.106964)
49,4010014,,,,,Doppelschleife,lane4,POINT (11.580318 48.10695)
50,4010021,,,,,Doppelschleife,lane1,POINT (11.580142 48.106884)
51,4010022,,,,,Doppelschleife,lane2,POINT (11.58017 48.106895)
52,4010023,,,,,Doppelschleife,lane3,POINT (11.580216 48.106915)
53,4010024,,,,,Doppelschleife,lane4,POINT (11.58024 48.106926)
54,4012011,,,,,,,POINT (11.524555 48.127865)
55,4012012,,,,,,,POINT (11.52452 48.127884)
56,4012013,,,,,,,POINT (11.524496 48.1279)
