,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
0,4000011,2023-11-30T19:00:00.000+01:00,99,anyVehicle,41.76,carOrLightVehicle,5.0
1,4000012,2023-11-30T19:00:00.000+01:00,115,anyVehicle,48.24,carOrLightVehicle,5.0
2,4000021,2023-11-30T19:00:00.000+01:00,104,anyVehicle,42.12,carOrLightVehicle,5.0
3,4000022,2023-11-30T19:00:00.000+01:00,94,anyVehicle,44.64,carOrLightVehicle,4.0
4,4001011,2023-11-30T19:00:00.000+01:00,76,anyVehicle,51.84,carOrLightVehicle,5.0
5,4001012,2023-11-30T19:00:00.000+01:00,135,anyVehicle,49.68,carOrLightVehicle,8.0
6,4001013,2023-11-30T19:00:00.000+01:00,68,anyVehicle,43.92,carOrLightVehicle,5.0
7,4001014,2023-11-30T19:00:00.000+01:00,73,anyVehicle,0.0,carOrLightVehicle,6.0
8,4003011,2023-11-30T19:00:00.000+01:00,295,anyVehicle,47.16,carOrLightVehicle,13.0
9,4003012,2023-11-30T19:00:00.000+01:00,398,anyVehicle,51.84,carOrLightVehicle,15.0
10,4003021,2023-11-30T19:00:00.000+01:00,291,anyVehicle,34.2,carOrLightVehicle,20.0
11,4003022,2023-11-30T19:00:00.000+01:00,329,anyVehicle,36.36,carOrLightVehicle,21.0
12,4004011,2023-11-30T19:00:00.000+01:00,225,anyVehicle,16.2,carOrLightVehicle,31.0
13,4004012,2023-11-30T19:00:00.000+01:00,354,anyVehicle,21.24,carOrLightVehicle,35.0
14,4004021,2023-11-30T19:00:00.000+01:00,291,anyVehicle,26.64,carOrLightVehicle,25.0
15,4004022,2023-11-30T19:00:00.000+01:00,351,anyVehicle,32.04,carOrLightVehicle,24.0
16,4005011,2023-11-30T19:00:00.000+01:00,180,anyVehicle,26.28,carOrLightVehicle,29.0
17,4005012,2023-11-30T19:00:00.000+01:00,144,anyVehicle,10.08,carOrLightVehicle,64.0
18,4005013,2023-11-30T19:00:00.000+01:00,138,anyVehicle,9.0,carOrLightVehicle,68.0
19,4005014,2023-11-30T19:00:00.000+01:00,74,anyVehicle,11.88,carOrLightVehicle,28.0
20,4005015,2023-11-30T19:00:00.000+01:00,126,anyVehicle,8.28,carOrLightVehicle,68.0
21,4005016,2023-11-30T19:00:00.000+01:00,217,anyVehicle,14.76,carOrLightVehicle,53.0
22,4006011,2023-11-30T19:00:00.000+01:00,113,anyVehicle,41.04,carOrLightVehicle,7.0
23,4006012,2023-11-30T19:00:00.000+01:00,17,anyVehicle,42.48,carOrLightVehicle,6.0
24,4006021,2023-11-30T19:00:00.000+01:00,112,anyVehicle,36.72,carOrLightVehicle,8.0
25,4006022,2023-11-30T19:00:00.000+01:00,159,anyVehicle,37.08,carOrLightVehicle,11.0
26,4007011,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
27,4007012,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
28,4007013,2023-11-30T19:00:00.000+01:00,72,anyVehicle,42.84,carOrLightVehicle,7.0
29,4007014,2023-11-30T19:00:00.000+01:00,159,anyVehicle,43.92,carOrLightVehicle,13.0
30,4007015,2023-11-30T19:00:00.000+01:00,58,anyVehicle,50.4,carOrLightVehicle,3.0
31,4009011,2023-11-30T19:00:00.000+01:00,171,anyVehicle,55.44,carOrLightVehicle,6.0
32,4009012,2023-11-30T19:00:00.000+01:00,137,anyVehicle,58.32,carOrLightVehicle,4.0
